,Technology,Dataset,Sample,Method,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,PAS,CHAOS,ASW,Level,Organ
2455,MERFISH,Hypothalamus,Animal1_Bregma0.01,SpatialMGCN,0.5609160231784848,0.7170509167348881,0.7009955266478496,0.750468340202323,0.6599884331184591,0.7849144847603212,0.7170509167348881,36.25998568534851,450.14986515045166,0.3703634319970026,0.0503961977235028,-0.1935104330342154,celltype,Brain
2456,MERFISH,Hypothalamus,Animal1_Bregma0.01,stLearn,0.5163609601874093,0.6662888352238269,0.6126404907846691,0.8397527163731734,0.713247810835834,0.6251964291127454,0.6662888352238269,1.5654343605041503,23.716071319580077,0.6636568002997377,0.058391366995934335,-0.14509105655957671,celltype,Brain
2457,MERFISH,Hypothalamus,Animal1_Bregma0.06,BASS,0.5346346454071003,0.6673559242866507,0.618442273873979,0.8162081227774658,0.6904464354137612,0.6457598605226262,0.6673559242866507,841.1973799705505,1512.98,0.5457608085345311,0.0538472791150746,-0.1286956128313154,celltype,Brain
2458,MERFISH,Hypothalamus,Animal1_Bregma0.06,Banksy,0.5170204593705368,0.6224576847360044,0.6331052587763504,0.6887516376567472,0.5981021694979709,0.6488809806507729,0.6224576847360043,10.77012300491333,87.15806941986084,0.4903612202882276,0.055029743082573704,-0.1416836850442424,celltype,Brain
2459,MERFISH,Hypothalamus,Animal1_Bregma0.06,CCST,0.15684161482112013,0.22893728677618289,0.3197184330635421,0.49219539584503086,0.22725223705632072,0.2306498945213924,0.22893728677618289,464.54906210899355,1874.1678993225098,0.08811529103499902,0.03024998711776204,-0.15181000898118963,celltype,Brain
2460,MERFISH,Hypothalamus,Animal1_Bregma0.06,CellCharter,0.3229698565571396,0.4803151933678616,0.44783134373343625,0.6625491297024144,0.4896499283006338,0.4722176999789213,0.4803151933678616,7.4749421119689945,87.12999095916749,0.5606213737600598,0.04987272962230566,-0.14545694878962193,celltype,Brain
2461,MERFISH,Hypothalamus,Animal1_Bregma0.06,DeepST,0.35842236485632223,0.4698971948317606,0.5498718358117536,0.6515815085158151,0.41598413740065876,0.5434541815319456,0.4698971948317607,251.9439537525177,666.9598781585694,0.22107430282612758,0.04099079153251772,-0.24700802752428977,celltype,Brain
2462,MERFISH,Hypothalamus,Animal1_Bregma0.06,GraphST,0.1319950543703725,0.2321069703074777,0.2922656954701255,0.5105745835672842,0.2374014664976379,0.2270434766407809,0.2321069703074778,17.71666102409363,897.8454431533813,0.1182856073367022,0.0300134660268521,-0.10020217460966821,celltype,Brain
2463,MERFISH,Hypothalamus,Animal1_Bregma0.06,PRECAST,0.5110609276221308,0.6512156612307837,0.5968861840592681,0.8205128205128205,0.683408108520788,0.6219196724583261,0.6512156612307837,29.40556197166443,150.07999999999998,0.6077110237694179,0.05500512688756011,-0.11728060765949208,celltype,Brain
2464,MERFISH,Hypothalamus,Animal1_Bregma0.06,SEDR,0.38097800649728675,0.5209762096999004,0.49557990112413036,0.6928691746209995,0.5314077990497512,0.5116682137766023,0.5209762096999004,23.11814489364624,667.1106960296631,0.5122215983529852,0.04694784356458196,-0.20215067998071512,celltype,Brain
2465,MERFISH,Hypothalamus,Animal1_Bregma0.06,STAGATE,0.14519627715545927,0.2504886810977403,0.31574752178657384,0.5069436646078982,0.24827808174144367,0.2528154113907431,0.25048868109774036,42.28743686676025,336.25407180786135,0.12895377128953767,0.03214655992744652,-0.14639795582958665,celltype,Brain
2466,MERFISH,Hypothalamus,Animal1_Bregma0.06,SpaGCN,0.4439115238180974,0.5572279181369216,0.546972106413843,0.7173872356354108,0.5618561133615442,0.5526753479233102,0.5572279181369217,13.098866748809815,559.8933813095093,0.5296649822197268,0.0482799241237987,-0.1358054461219806,celltype,Brain
2467,MERFISH,Hypothalamus,Animal1_Bregma0.06,SpaceFlow,0.10740482992329278,0.18595818593813804,0.25538228253890843,0.4690997566909975,0.1948255512009535,0.17787524617168343,0.18595818593813804,55.29866409301758,368.85024642944336,0.05240501590866552,0.02966941713570498,-0.08464852847875734,celltype,Brain
2468,MERFISH,Hypothalamus,Animal1_Bregma0.06,SpatialMGCN,0.5913954698383342,0.7065536693108447,0.6970383635291645,0.7780273254725809,0.6682052411797264,0.7495717363492873,0.7065536693108446,50.38665008544922,451.1499797821045,0.4398278120905858,0.0524326380557318,-0.21414900216992133,celltype,Brain
