,Technology,Dataset,Sample,Method,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,Level
1331,VisiumHD,Mouse Brain,FreshFrozen_sub3,GraphST,0.3641096653704071,0.6135454195204266,0.4183890541912827,0.6408002280935183,0.6554400074898394,0.5766847320990598,0.6135454195204266,142.88372406959533,18668.1492811203,domain
1332,VisiumHD,Mouse Brain,FreshFrozen_sub3,PRECAST,0.4445314031736639,0.670954865062926,0.4965935352498412,0.7070423873788253,0.7204707384554779,0.6278074704987077,0.670954865062926,901.8833520412444,2208.3,domain
1333,VisiumHD,Mouse Brain,FreshFrozen_sub3,SEDR,0.3735394894899764,0.6294353893226929,0.4271832547641924,0.6665652917696255,0.671173361641603,0.5925855893638468,0.6294353893226929,158.54634833335876,13511.550616073608,domain
1334,VisiumHD,Mouse Brain,FreshFrozen_sub3,STAGATE,0.3790570815976657,0.6295402104804219,0.4319760016848096,0.6634575175822087,0.6704961461637623,0.5933175712584632,0.6295402104804219,178.02741041183472,2378.294713592529,domain
1335,VisiumHD,Mouse Brain,FreshFrozen_sub3,SpaGCN,0.4059315837726608,0.6519262620483588,0.4586219969799373,0.6760977000570234,0.6943361731109408,0.6144920215043798,0.6519262620483588,327.5723426818848,10159.983855438231,domain
1336,VisiumHD,Mouse Brain,FreshFrozen_sub3,SpaceFlow,0.3614392911226515,0.6051726674321313,0.4189364887705836,0.6463124881201292,0.6540440191464061,0.5631043420718673,0.6051726674321312,203.0451741218567,2086.8542442321777,domain
1337,VisiumHD,Mouse Brain,FreshFrozen_sub3,SpatialMGCN,0.3625185322479105,0.6279803724464883,0.4170662482882298,0.6606158524995248,0.671175373527354,0.5900254087105068,0.6279803724464883,511.6627600669861,5144.109642028809,domain
1338,VisiumHD,Mouse Brain,FreshFrozen_sub3,stLearn,0.4996376891527173,0.7153925341079728,0.5470740256494159,0.7375308876639421,0.7604322174167936,0.6753926019102827,0.7153925341079728,14.88303084373474,3522.434608650208,domain
1339,VisiumHD,Mouse Brain,FreshFrozen_sub4,BASS,0.2302547330512206,0.4845719014981163,0.3200888902440241,0.5673098547204606,0.5423504193433802,0.4379188499235984,0.4845719014981163,4984.602566003799,6359.56,domain
1340,VisiumHD,Mouse Brain,FreshFrozen_sub4,Banksy,0.293192383923849,0.5137207261524844,0.3802576982456904,0.5978950209148562,0.5721727177442195,0.4661044511778097,0.5137207261524844,65.962358045578,3967.589908790588,domain
