,Technology,Dataset,Sample,Method,train_sample,test_sample,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,PAS,CHAOS,ASW,Simulation
30,scCube,sim4,sim4_12_WM_Layer6,BayesSpace,WM,Layer6,0.4114657462994435,0.5863058723565749,0.5486821458103851,0.6959291055109388,0.580999796818537,0.5917097583676982,0.5863058723565749,0.0645250623096095,0.0614867640747553,-0.0178888258238979,6 domains
31,scCube,sim4,sim4_12_WM_Layer6,CCST,WM,Layer6,0.4713864583407007,0.5933484758227336,0.5860951194644257,0.7358072556078649,0.6156517572923684,0.5726439191230873,0.5933484758227336,0.0244253669343671,0.0611186924642183,0.0396464870068294,6 domains
32,scCube,sim4,sim4_12_WM_Layer6,CellCharter,WM,Layer6,0.3326649372998945,0.4945292232298207,0.475517941216623,0.6886181113265024,0.5167192010951476,0.4742162166967912,0.4945292232298207,0.1176405427859318,0.0626691510621734,0.0655974310118608,6 domains
33,scCube,sim4,sim4_12_WM_Layer6,DeepST,WM,Layer6,0.5917300036668196,0.6852187913305282,0.6810870508965785,0.8263638881196345,0.7154811851994778,0.6575599827063197,0.6852187913305281,0.0535031847133757,0.0606860070634261,0.0309174012829724,6 domains
34,scCube,sim4,sim4_12_WM_Layer6,GraphST,WM,Layer6,0.3901961752150803,0.5224597866075549,0.5359026964610072,0.7169759069509831,0.524834504796037,0.5201064613925979,0.5224597866075549,0.019939075048463,0.060474636828804,-0.0092330717714005,6 domains
35,scCube,sim4,sim4_12_WM_Layer6,PRECAST,WM,Layer6,0.4310805075117538,0.3907090695258742,0.5653185880344865,0.6574356134034893,0.3905222835453406,0.3908960342705875,0.3907090695258742,0.1788978122403766,0.0681066982179711,0.1067718100221868,6 domains
36,scCube,sim4,sim4_12_WM_Layer6,SEDR,WM,Layer6,0.4927294657653096,0.6006833784686091,0.606418960367213,0.7551370811409581,0.6075251722923987,0.5946554650410608,0.600683378468609,0.0425920797563001,0.0612256879952109,0.0255781707210045,6 domains
37,scCube,sim4,sim4_12_WM_Layer6,STAGATE,WM,Layer6,0.4752565494572535,0.5989591716905263,0.5920296077377352,0.7651620049847688,0.619621319247258,0.5799711601914733,0.5989591716905263,0.0545555247853779,0.0613097097265163,0.0170744052437292,6 domains
38,scCube,sim4,sim4_12_WM_Layer6,SpaGCN,WM,Layer6,0.3720073068915575,0.4666397085290875,0.5024585394619823,0.7261146496815286,0.4955663422336049,0.4409037758477008,0.4666397085290875,0.2309609526446966,0.0657641032621662,0.0094741048381227,6 domains
39,scCube,sim4,sim4_12_WM_Layer6,SpaMGCN,WM,Layer6,0.3505233498758186,0.44029153915622,0.4916618718602679,0.6253115480476322,0.4547255697318815,0.4267456551239633,0.4402915391562201,0.2309609526446966,0.0643503837423804,0.0355764563125682,6 domains
40,scCube,sim4,sim4_12_WM_Layer6,SpaceFlow,WM,Layer6,0.3304801794852222,0.4787323284662322,0.4718535862850599,0.6708391027416228,0.5030583331452919,0.4567231633899452,0.4787323284662322,0.0456383273331486,0.0609411156435175,0.098380673860176,6 domains
41,scCube,sim4,sim4_12_WM_Layer6,stLearn,WM,Layer6,0.1288677990373594,0.2531862550830358,0.3162643433449218,0.5009138742730546,0.2626126214338518,0.2444171846590694,0.2531862550830358,0.4742176682359457,0.0691174970100766,-0.0663130166931166,6 domains
42,scCube,sim4,sim4_1_Layer1_Layer2,BASS,Layer1,Layer2,0.4797829609220095,0.6205770660506341,0.5791186377718366,0.7094987538078095,0.6218580124431174,0.6193013859751967,0.6205770660506342,0.0246469122126834,0.0607806786326125,0.0067115801713131,6 domains
43,scCube,sim4,sim4_1_Layer1_Layer2,Banksy,Layer1,Layer2,0.602510702091774,0.6984354527986927,0.6750704097917306,0.8335641096649129,0.7135484589932654,0.6839493576379795,0.6984354527986928,0.0379396289116588,0.060960829162243,0.0709358511118831,6 domains
44,scCube,sim4,sim4_1_Layer1_Layer2,BayesSpace,Layer1,Layer2,0.5104102628797148,0.6574664296678352,0.6030920902775372,0.7263915812794239,0.6604248892485683,0.654534357493739,0.6574664296678352,0.0432013292716699,0.0614915431714842,0.0074612357746284,6 domains
45,scCube,sim4,sim4_1_Layer1_Layer2,CCST,Layer1,Layer2,0.4225878881941993,0.5799789146439451,0.5348997766896988,0.672666851287732,0.577455402620961,0.582619424124607,0.5799789146439451,0.0177790085848794,0.0606070352966943,0.035078225425307,6 domains
46,scCube,sim4,sim4_1_Layer1_Layer2,CellCharter,Layer1,Layer2,0.3681692781644906,0.5197517979510782,0.4867155105714332,0.6427582387150375,0.5245662296618976,0.515071231821206,0.5197517979510782,0.0754915535862641,0.0619455090974624,0.1119439721321977,6 domains
47,scCube,sim4,sim4_1_Layer1_Layer2,DeepST,Layer1,Layer2,0.6241311451065014,0.710223171839458,0.6964613997161753,0.818997507615619,0.7037892368281347,0.7175419048763689,0.710223171839458,0.026973137635004,0.0605519425712521,0.0212716404002786,6 domains
48,scCube,sim4,sim4_1_Layer1_Layer2,GraphST,Layer1,Layer2,0.590028980734442,0.6852705466281562,0.6648855665341242,0.8258100249238438,0.6996433926330579,0.6714763392902818,0.6852705466281562,0.0132927166989753,0.0605183547055476,0.1055506808014618,6 domains
49,scCube,sim4,sim4_1_Layer1_Layer2,PRECAST,Layer1,Layer2,0.2044319877418665,0.3813327531111717,0.3754043419606974,0.5209083356410966,0.3680937773128132,0.395559572272176,0.3813327531111717,0.1661589587371919,0.0661450732494889,0.0167684136470345,6 domains
50,scCube,sim4,sim4_1_Layer1_Layer2,SEDR,Layer1,Layer2,0.4434287730656739,0.5735361790831804,0.5547464834935896,0.6782054832456383,0.5649647286725067,0.5824660360629227,0.5735361790831804,0.0441428967045139,0.0609928031150528,0.0737680900603805,6 domains
51,scCube,sim4,sim4_1_Layer1_Layer2,STAGATE,Layer1,Layer2,0.5460355526262922,0.6760553486198648,0.6331684542904463,0.7688728883965661,0.6805615468138406,0.6718615794467778,0.6760553486198648,0.0374411520354471,0.0607301643296302,0.0515336474823687,6 domains
52,scCube,sim4,sim4_1_Layer1_Layer2,SpaGCN,Layer1,Layer2,0.468069865492947,0.5730286513169668,0.5650540466162273,0.7371919135973415,0.5840478265254634,0.5624175720772325,0.5730286513169669,0.1296039878150097,0.0640166438901279,0.084527353652029,6 domains
53,scCube,sim4,sim4_1_Layer1_Layer2,SpaMGCN,Layer1,Layer2,0.3347432411465759,0.4872992832120809,0.4630835586814728,0.6042647466075879,0.4872397759710221,0.4873588049903117,0.4872992832120807,0.16449736914982,0.0627126875469212,0.0297206241692846,6 domains
54,scCube,sim4,sim4_1_Layer1_Layer2,SpaceFlow,Layer1,Layer2,0.2870434502232011,0.4346816318219356,0.4191888906860513,0.5709775685405705,0.4399868707032319,0.4295170388857411,0.4346816318219356,0.0628080864026584,0.0608730933954605,0.0885083993629766,6 domains
55,scCube,sim4,sim4_1_Layer1_Layer2,stLearn,Layer1,Layer2,0.192913196449095,0.3424720792348945,0.3506762458710563,0.496981445582941,0.3411305920142992,0.3438556719291548,0.3424720792348945,0.3651066186651897,0.0673326970339916,-0.0282905699095632,6 domains
56,scCube,sim4,sim4_2_Layer2_Layer1,BASS,Layer2,Layer1,0.4087731277944231,0.5712977156649386,0.5286378952084119,0.6820825256161728,0.5596574697485359,0.5834324545246352,0.5712977156649385,0.0288008861811132,0.0625402572293779,0.1304844945615024,6 domains
57,scCube,sim4,sim4_2_Layer2_Layer1,Banksy,Layer2,Layer1,0.5111811252735593,0.6173565597603922,0.6049961047282468,0.7388535031847133,0.6178050614871773,0.6169087087497886,0.6173565597603922,0.0504015508169482,0.0619550055624695,-0.0339784581444571,6 domains
58,scCube,sim4,sim4_2_Layer2_Layer1,BayesSpace,Layer2,Layer1,0.4930536313541949,0.6178857440378122,0.5864768144029429,0.7496538355026309,0.6273317416560195,0.6087199913637981,0.6178857440378122,0.0393242869011354,0.0614924511765011,0.1164928018804019,6 domains
59,scCube,sim4,sim4_2_Layer2_Layer1,CCST,Layer2,Layer1,0.4793985534346238,0.633259438706499,0.5904462788416094,0.7234561063417336,0.6188414376281999,0.6490193882196174,0.633259438706499,0.0225422320686789,0.0606325355369353,0.0427176327429756,6 domains
60,scCube,sim4,sim4_2_Layer2_Layer1,CellCharter,Layer2,Layer1,0.3689096640196733,0.5274042186171557,0.4893911953823086,0.6361672666851288,0.5291446962074638,0.5258950657889533,0.5274042186171557,0.0609249515369703,0.0616435784171634,0.1179659953411375,6 domains
61,scCube,sim4,sim4_2_Layer2_Layer1,DeepST,Layer2,Layer1,0.6596090952496326,0.7514512009742829,0.722213668363468,0.8521185267238991,0.7660559451975933,0.7373934298515199,0.7514512009742829,0.0294101356964829,0.0605458999421603,0.0554155023195631,6 domains
