,Technology,Dataset,Sample,Method,train_sample,test_sample,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure
57,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.26spatial,GraphST,Animal1_Bregma0.01,Animal1_Bregma0.26,0.1633056401333006,0.2194618522541402,0.3622708274315507,0.5382864238410596,0.21931736786233272,0.2196065271415888,0.2194618522541402
58,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.26spatial,PRECAST,Animal1_Bregma0.01,Animal1_Bregma0.26,0.7232384442035131,0.7292135486925769,0.7846745969532978,0.8569950331125827,0.7442740888179907,0.7147504259908484,0.7292135486925769
59,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.26spatial,SEDR,Animal1_Bregma0.01,Animal1_Bregma0.26,0.6011956298074093,0.6855732757615167,0.684152828850347,0.8774834437086092,0.7369733116775705,0.6412880763520346,0.6855732757615167
60,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.26spatial,STAGATE,Animal1_Bregma0.01,Animal1_Bregma0.26,0.19127009170087841,0.2607408133675092,0.3368674235985658,0.5645281456953641,0.2873559639563436,0.23864298099727846,0.2607408133675092
61,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.26spatial,SpaGCN,Animal1_Bregma0.01,Animal1_Bregma0.26,0.6879565409442604,0.7427032704681107,0.7546541385837867,0.9151490066225165,0.7880182802181138,0.7023165412353095,0.7427032704681107
62,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.26spatial,SpaceFlow,Animal1_Bregma0.01,Animal1_Bregma0.26,0.14739854591255028,0.17856724917843533,0.30045960620753587,0.5288079470198676,0.19591466521439851,0.16405109146797223,0.17856724917843533
63,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.26spatial,SpatialMGCN,Animal1_Bregma0.01,Animal1_Bregma0.26,0.6977952790716068,0.7421220166343572,0.7707854781186291,0.8714817880794701,0.7452213589312842,0.739048347615365,0.7421220166343572
64,scCube,sim2,MERFISH_Animal1_Bregma0.01train_Animal1_Bregma0.26spatial,stLearn,Animal1_Bregma0.01,Animal1_Bregma0.26,0.6462520055900332,0.7582448842215023,0.7237342033943102,0.9217715231788078,0.8255837234719443,0.7012406501506121,0.7582448842215023
65,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.01spatial,BASS,Animal1_Bregma0.06,Animal1_Bregma0.01,0.607750683916114,0.6910912631962491,0.6880894168895662,0.8529411764705882,0.7237530586244059,0.6612501233246969,0.6910912631962491
66,scCube,sim2,MERFISH_Animal1_Bregma0.06train_Animal1_Bregma0.01spatial,Banksy,Animal1_Bregma0.06,Animal1_Bregma0.01,0.5465340031366107,0.6906764480832777,0.6523432938584303,0.7961783439490445,0.697683554638757,0.6852041932828506,0.6906764480832777
