,Technology,Dataset,Sample,Method,train_sample,test_sample,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Simulation
13,scCube,sim6,sim6_151669_151673,stLearn,151673,151669,0.20619100400881832,0.3334372228905242,0.4285458077312615,0.6301728945900725,0.32623849742388084,0.3415692226911828,0.3334372228905242,Add adjacent domain
14,scCube,sim6,sim6_151669_151674,BASS,151674,151669,0.4419434050896439,0.6867672603052082,0.5819810362844995,0.8218070273284998,0.7376536955045087,0.6424484788915976,0.6867672603052082,Add adjacent domain
15,scCube,sim6,sim6_151669_151674,Banksy,151674,151669,0.47962956299862114,0.6579636981307225,0.6194043163824916,0.7684885666480759,0.6669670022184154,0.6496190850324457,0.6579636981307226,Add adjacent domain
16,scCube,sim6,sim6_151669_151674,BayesSpace,151674,151669,0.49586644208635355,0.6844319177104101,0.6256425337789843,0.8126045733407696,0.7206978665364328,0.6516409541282249,0.6844319177104101,Add adjacent domain
17,scCube,sim6,sim6_151669_151674,CCST,151674,151669,0.3950524755170761,0.5836998233359192,0.555270521890205,0.7345231455660903,0.5950364825454939,0.5728500932908661,0.5836998233359192,Add adjacent domain
18,scCube,sim6,sim6_151669_151674,CellCharter,151674,151669,0.32587296491948586,0.5311722109912005,0.4913873108567369,0.7081427774679309,0.568438944938664,0.49853721427927356,0.5311722109912005,Add adjacent domain
19,scCube,sim6,sim6_151669_151674,DeepST,151674,151669,0.541743108864118,0.684493206174597,0.6660183570705683,0.7802007808142777,0.692143009965659,0.6775900321439181,0.6844932061745969,Add adjacent domain
20,scCube,sim6,sim6_151669_151674,GraphST,151674,151669,0.4387862146936376,0.6701175156689744,0.5791952699242187,0.8095370886781929,0.7225686043109235,0.6247659026267838,0.6701175156689744,Add adjacent domain
21,scCube,sim6,sim6_151669_151674,PRECAST,151674,151669,0.3758681276338333,0.5061036898061446,0.531584784477846,0.7122141662018963,0.53749768898806,0.47817461445816506,0.5061036898061446,Add adjacent domain
22,scCube,sim6,sim6_151669_151674,SEDR,151674,151669,0.516770225658893,0.6833315336590369,0.6417280211344425,0.8148912437255994,0.7236660939006313,0.6472558146878791,0.6833315336590366,Add adjacent domain
23,scCube,sim6,sim6_151669_151674,STAGATE,151674,151669,0.4675521585622541,0.6699690137264183,0.6071518364585137,0.7895705521472391,0.6903174601919789,0.6510547498766999,0.6699690137264183,Add adjacent domain
24,scCube,sim6,sim6_151669_151674,SpaGCN,151674,151669,0.3735321327204062,0.5128806500878461,0.528516187352078,0.7322922476296709,0.549507880950016,0.4808310465119273,0.5128806500878461,Add adjacent domain
25,scCube,sim6,sim6_151669_151674,SpaceFlow,151674,151669,0.29542065616073543,0.48550115270586114,0.46377592303373005,0.7039598438371444,0.5251481850943192,0.4514669380989334,0.48550115270586114,Add adjacent domain
26,scCube,sim6,sim6_151669_151674,SpatialMGCN,151674,151669,0.3648993658414721,0.5227728128824176,0.5221136693232181,0.7069157836029002,0.5569026328048937,0.49258472104125206,0.5227728128824176,Add adjacent domain
27,scCube,sim6,sim6_151669_151674,stLearn,151674,151669,0.22325191154861743,0.3489336549894335,0.4411899545959136,0.6311210262130508,0.3380337188662594,0.36089801089823553,0.3489336549894335,Add adjacent domain
28,scCube,sim6,sim6_151669_151675,BASS,151675,151669,0.31300957668122814,0.5698285464614199,0.4865849410078925,0.7216954824316788,0.5985735938262627,0.543717815036681,0.56982854646142,Add adjacent domain
29,scCube,sim6,sim6_151669_151675,Banksy,151675,151669,0.4284056767140442,0.6286443214991554,0.5833649518012543,0.743112102621305,0.6282139309840776,0.6293621581453878,0.6286443214991553,Add adjacent domain
30,scCube,sim6,sim6_151669_151675,BayesSpace,151675,151669,0.49117531922959123,0.6750753849870681,0.6220025855438491,0.8109313998884551,0.7110152960476602,0.6425939870869742,0.6750753849870681,Add adjacent domain
31,scCube,sim6,sim6_151669_151675,CCST,151675,151669,0.41444321331518097,0.614752659875781,0.5672612856567533,0.7606246514221974,0.6330647225968107,0.5975035943045348,0.614752659875781,Add adjacent domain
32,scCube,sim6,sim6_151669_151675,CellCharter,151675,151669,0.3373242352420616,0.5171980205634303,0.50157762092553,0.7018962632459564,0.550528177661913,0.48769785952050776,0.5171980205634304,Add adjacent domain
33,scCube,sim6,sim6_151669_151675,DeepST,151675,151669,0.40537385822463506,0.6403607147235826,0.5516032877211297,0.7989960959286113,0.7154170530576576,0.5997160633884333,0.6403607147235826,Add adjacent domain
34,scCube,sim6,sim6_151669_151675,GraphST,151675,151669,0.4598705193371992,0.6696833784197683,0.5974055832254479,0.8098159509202454,0.7076092116591772,0.6356161668152396,0.6696833784197684,Add adjacent domain
35,scCube,sim6,sim6_151669_151675,PRECAST,151675,151669,0.36361893284894276,0.5035004818003955,0.5215623461244159,0.7119353039598438,0.5360020591225035,0.47471516049040846,0.5035004818003955,Add adjacent domain
36,scCube,sim6,sim6_151669_151675,SEDR,151675,151669,0.49720249074868333,0.6798385754760357,0.6265407266784708,0.8190741773563859,0.7209802886116486,0.6431397808205405,0.6798385754760357,Add adjacent domain
37,scCube,sim6,sim6_151669_151675,STAGATE,151675,151669,0.49170580156610744,0.6813138218594899,0.6223731210352185,0.8174010039040713,0.7189030161576767,0.6474823013445482,0.6813138218594899,Add adjacent domain
38,scCube,sim6,sim6_151669_151675,SpaGCN,151675,151669,0.45087383373998235,0.6056700016381885,0.5901686260672683,0.7902955939765756,0.64326858352589,0.5722239282918777,0.6056700016381885,Add adjacent domain
39,scCube,sim6,sim6_151669_151675,SpaceFlow,151675,151669,0.38040582838009684,0.5790455151629029,0.5358398687845554,0.7413273842721695,0.6090304352517342,0.5522381413967175,0.5790455151629029,Add adjacent domain
40,scCube,sim6,sim6_151669_151675,SpatialMGCN,151675,151669,0.2689229953297403,0.4358749981336711,0.44502072836314055,0.6416620189626324,0.4668157645237835,0.4087808152250444,0.4358749981336711,Add adjacent domain
41,scCube,sim6,sim6_151669_151675,stLearn,151675,151669,0.20961155919565272,0.3384108027516383,0.42689135769420183,0.6319018404907976,0.3357957165487421,0.34148810506772664,0.3384108027516383,Add adjacent domain
42,scCube,sim6,sim6_151669_151676,BASS,151676,151669,0.3227167751658749,0.5684739702831394,0.4911499015960989,0.7158393753485778,0.6029390740487517,0.537735994198577,0.5684739702831394,Add adjacent domain
43,scCube,sim6,sim6_151669_151676,Banksy,151676,151669,0.3828444383567725,0.6164353921023541,0.5455708947404214,0.739542665923034,0.6275592302397843,0.6060805223028874,0.616435392102354,Add adjacent domain
44,scCube,sim6,sim6_151669_151676,BayesSpace,151676,151669,0.5280916901753664,0.6878836829092224,0.6508903012944148,0.8100948131622978,0.7217397389207588,0.6570616102426012,0.6878836829092224,Add adjacent domain
45,scCube,sim6,sim6_151669_151676,CCST,151676,151669,0.39754735305375644,0.5900381049003173,0.5551717847734283,0.749525934188511,0.6069780842912442,0.5740855567885265,0.5900381049003173,Add adjacent domain
46,scCube,sim6,sim6_151669_151676,CellCharter,151676,151669,0.3205495047772709,0.5154413207189643,0.48674360995799004,0.6958170663692136,0.5508606131325113,0.48455846107025885,0.5154413207189643,Add adjacent domain
47,scCube,sim6,sim6_151669_151676,DeepST,151676,151669,0.5016352146487736,0.6803786916316297,0.632438481828096,0.7962074735080871,0.7056038998114127,0.657211428986544,0.6803786916316297,Add adjacent domain
48,scCube,sim6,sim6_151669_151676,GraphST,151676,151669,0.46776546883197956,0.6699433776711984,0.603515377093676,0.8106525376464028,0.7079495614249122,0.6358099973990776,0.6699433776711984,Add adjacent domain
49,scCube,sim6,sim6_151669_151676,PRECAST,151676,151669,0.3583583426166397,0.5082089988727394,0.5179047045351619,0.7175125488008923,0.5396841571847407,0.4802028747299659,0.5082089988727393,Add adjacent domain
50,scCube,sim6,sim6_151669_151676,SEDR,151676,151669,0.5510146814659211,0.6943941044851976,0.6683748633646734,0.817345231455661,0.7347059959457353,0.658275792912885,0.6943941044851976,Add adjacent domain
51,scCube,sim6,sim6_151669_151676,STAGATE,151676,151669,0.46016319377687437,0.6646272370756344,0.600342019636338,0.7950920245398774,0.6909950456965797,0.6405070203135483,0.6646272370756344,Add adjacent domain
52,scCube,sim6,sim6_151669_151676,SpaGCN,151676,151669,0.4794176964385309,0.6216726317996171,0.6129350949189273,0.7975460122699386,0.6571504314143167,0.5898293195162548,0.6216726317996171,Add adjacent domain
53,scCube,sim6,sim6_151669_151676,SpaceFlow,151676,151669,0.3878174631490226,0.6103806760987123,0.5401680489494342,0.7553262688232014,0.6510788618463696,0.5745892514699369,0.6103806760987123,Add adjacent domain
54,scCube,sim6,sim6_151669_151676,SpatialMGCN,151676,151669,0.37262811473924,0.524244773284675,0.5269653361128497,0.7158393753485778,0.5628622757887396,0.4905860792176428,0.5242447732846749,Add adjacent domain
55,scCube,sim6,sim6_151669_151676,stLearn,151676,151669,0.2144655927352314,0.3277405348840839,0.42847244293159054,0.6259341885108756,0.32496994681857966,0.3306468188680601,0.32774053488408383,Add adjacent domain
56,scCube,sim6,sim6_151670_151673,BASS,151673,151670,0.3147537804565968,0.545387031998324,0.5127925054196091,0.7858783008036739,0.6236414372544231,0.48458180244921445,0.545387031998324,Add adjacent domain
57,scCube,sim6,sim6_151670_151673,Banksy,151673,151670,0.2846855057562485,0.528251338649296,0.4958768012715863,0.7649827784156142,0.5857557742535958,0.4813672915842101,0.528251338649296,Add adjacent domain
