,Technology,Dataset,Sample,Method,Tissue,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,PAS,CHAOS,ASW
48,10X,Chicken Heart,D7,DeepST,Heart,0.377006272,0.505040496,0.480356504,0.598168871,0.496861471,0.513560464,0.505040496,139.5692203,2039.50771,0.138046796,0.069735746,-0.08271952
49,10X,Chicken Heart,D7,GraphST,Heart,0.445287928,0.569198488,0.53455836,0.668362157,0.565737966,0.572701605,0.569198488,16.31380954,313.2639132,0.222278739,0.07071867,-0.064027627
50,10X,Chicken Heart,D7,PRECAST,Heart,0.461845709,0.592131373,0.55329986,0.698880977,0.580490202,0.604249003,0.592131373,15.18436604,660.94,0.212105799,0.072291191,-0.083593003
51,10X,Chicken Heart,D7,SEDR,Heart,0.341263877,0.482453209,0.45427174,0.582502543,0.470441443,0.495237833,0.482453209,17.35034046,830.9370363,0.065310275,0.068862781,-0.102485475
52,10X,Chicken Heart,D7,STAGATE,Heart,0.435800766,0.574193517,0.529521171,0.668463886,0.56709087,0.581511161,0.574193517,34.57992587,270.9727602,0.149643947,0.069829613,-0.092553952
53,10X,Chicken Heart,D7,SpaGCN,Heart,0.382177699,0.517466893,0.480398104,0.62716175,0.515823243,0.519121052,0.517466893,78.61686239,284.3383646,0.217700916,0.071680529,-0.141796791
54,10X,Chicken Heart,D7,SpaceFlow,Heart,0.36784977,0.463633881,0.468753336,0.579247202,0.461588714,0.465708745,0.463633881,18.6137826,242.9257343,0.107629705,0.068958936,-0.067332194
55,10X,Chicken Heart,D7,SpatialMGCN,Heart,0.416391589,0.558809621,0.510920325,0.644964395,0.555560512,0.562096957,0.558809621,43.62773576,192.5005991,0.10681587,0.069993019,-0.094632912
56,10X,Chicken Heart,D7,stLearn,Heart,0.403583751,0.536265179,0.500243273,0.650559512,0.532525174,0.540058089,0.536265179,185.4610081,2274.428872,0.295523906,0.073759886,-0.076755118
57,10X,DLPFC,151507,BASS,Brain,0.504906154,0.696470052,0.590074673,0.712153518,0.7044176,0.688699838,0.696470052,1786.36577,2432.92,0.044776119,0.058438595,0.026331895
58,10X,DLPFC,151507,Banksy,Brain,0.466287257,0.636833252,0.564439725,0.664771381,0.627353684,0.646888307,0.636833252,14.57349548,687.5726475,0.047287373,0.057108597,-0.007574404
59,10X,DLPFC,151507,BayesSpace,Brain,0.47758989,0.633649897,0.576641939,0.662165364,0.615354785,0.653066208,0.633649897,2075.773412,8305.3,0.030561478,0.056661912,0.001405378
60,10X,DLPFC,151507,CCST,Brain,0.46650132,0.637322021,0.583122893,0.677564558,0.594789988,0.688293753,0.637322021,342.2532365,1626.416059,0.017199716,0.056410832,-0.046707217
61,10X,DLPFC,151507,CellCharter,Brain,0.439198305,0.585379401,0.534611475,0.660838664,0.595031813,0.576164249,0.585379401,205.8453345,377.1965771,0.061596778,0.057280081,0.100576517
62,10X,DLPFC,151507,DeepST,Brain,0.522867855,0.637172515,0.604512671,0.710542525,0.646869209,0.627881344,0.637172515,339.8296624,5840.225761,0.072115612,0.05673316,0.038496599
63,10X,DLPFC,151507,GraphST,Brain,0.404873171,0.619088877,0.527844678,0.634446814,0.582034966,0.661181468,0.619088877,26.41531091,1123.329943,0.008291874,0.056255539,-0.036674799
64,10X,DLPFC,151507,PRECAST,Brain,0.537283494,0.642764432,0.622950368,0.719971571,0.630378561,0.655646781,0.642764432,37.01820803,966.98,0.042407013,0.059802765,0.038774446
65,10X,DLPFC,151507,SEDR,Brain,0.532115678,0.679048877,0.618013526,0.704524994,0.669502294,0.689322531,0.679048877,23.35296202,2199.186318,0.020658612,0.056303621,0.026463495
66,10X,DLPFC,151507,STAGATE,Brain,0.546028308,0.671081369,0.622679677,0.746410803,0.685524344,0.657234422,0.671081369,68.83641114,392.748782,0.06785122,0.05780793,0.036725565
67,10X,DLPFC,151507,SpaGCN,Brain,0.455390415,0.580629735,0.553609229,0.668561952,0.566378586,0.595616566,0.580629735,88.30054531,1100.779886,0.10376688,0.058189754,-0.03206421
68,10X,DLPFC,151507,SpaceFlow,Brain,0.502793633,0.64193547,0.58825647,0.714759536,0.649536559,0.634618492,0.64193547,58.66516695,432.4794724,0.015257048,0.056265167,0.08755524
69,10X,DLPFC,151507,SpatialMGCN,Brain,0.470771184,0.604477156,0.561600241,0.670457238,0.608588611,0.600420881,0.604477156,66.76495795,425.6635769,0.033167496,0.056282699,-0.026071039
70,10X,DLPFC,151507,stLearn,Brain,0.397401325,0.522372435,0.521701536,0.630656243,0.480138294,0.572753212,0.522372435,392.6448361,7157.872786,0.187396352,0.059368548,-0.092303232
71,10X,DLPFC,151508,BASS,Brain,0.494871637,0.619783951,0.591250523,0.706231454,0.618566295,0.621006411,0.619783951,1773.885004,2497.92,0.036521342,0.057672403,0.02920366
72,10X,DLPFC,151508,Banksy,Brain,0.496427,0.664621797,0.591763134,0.726318192,0.667974496,0.661302585,0.664621797,15.66619601,704.4105988,0.048390778,0.056091737,0.023749968
73,10X,DLPFC,151508,BayesSpace,Brain,0.386321963,0.538442527,0.499639784,0.649851632,0.545383784,0.531675736,0.538442527,2152.655988,9318.94,0.026249715,0.055745753,0.134856236
74,10X,DLPFC,151508,CCST,Brain,0.339400377,0.545300067,0.493156945,0.599817393,0.50840802,0.588003905,0.545300067,358.6601274,1682.052352,0.016982424,0.055385191,-0.034946458
75,10X,DLPFC,151508,CellCharter,Brain,0.446307245,0.590025485,0.545766333,0.693996804,0.611441439,0.570063415,0.590025485,223.7183563,344.6370728,0.065829719,0.056295845,0.059116077
76,10X,DLPFC,151508,DeepST,Brain,0.45632116,0.579887462,0.554639189,0.697329377,0.596058642,0.564700085,0.579887462,321.9597608,6050.634875,0.053412463,0.05536009,0.0070653
77,10X,DLPFC,151508,GraphST,Brain,0.524565793,0.669167964,0.628840638,0.717187857,0.638052813,0.703473401,0.669167964,26.29338107,1175.92698,0.012554211,0.055075249,-0.033383234
78,10X,DLPFC,151508,PRECAST,Brain,0.451695669,0.603481808,0.552363004,0.718329149,0.618845597,0.588862397,0.603481808,40.40763397,1002.46,0.049760329,0.059250325,0.037255069
79,10X,DLPFC,151508,SEDR,Brain,0.485240762,0.63439851,0.581104084,0.718420452,0.646237464,0.623060229,0.63439851,19.6817389,1945.02064,0.022506277,0.055194919,0.059034337
80,10X,DLPFC,151508,STAGATE,Brain,0.50069841,0.627856199,0.592241226,0.726957316,0.643921713,0.6128755,0.627856199,64.56660137,393.584347,0.061675417,0.056918719,0.031696145
81,10X,DLPFC,151508,SpaGCN,Brain,0.392296238,0.488116511,0.500832434,0.639123488,0.505879266,0.471558838,0.488116511,72.03076191,1163.707944,0.089020772,0.05795221,0.090259892
82,10X,DLPFC,151508,SpaceFlow,Brain,0.464761447,0.600155868,0.562787999,0.716503081,0.612638234,0.588314671,0.600155868,71.27609138,436.8391357,0.024104086,0.055175505,0.032358071
83,10X,DLPFC,151508,SpatialMGCN,Brain,0.428476853,0.583975831,0.533696366,0.693905501,0.5966498,0.5718291,0.583975831,65.95247736,500.899375,0.031271399,0.055442365,0.037641511
84,10X,DLPFC,151508,stLearn,Brain,0.397093406,0.499818607,0.521242839,0.659438484,0.479875626,0.521491069,0.499818607,404.6268752,7306.487686,0.198128281,0.05847354,-0.094137083
85,10X,DLPFC,151509,BASS,Brain,0.493101504,0.650601118,0.609978363,0.761278195,0.666085389,0.635820408,0.650601118,1841.41453,2895.92,0.034252297,0.054118331,-0.052051385
86,10X,DLPFC,151509,Banksy,Brain,0.472154684,0.632879378,0.598065305,0.738304094,0.633190577,0.632568485,0.632879378,15.03497038,777.1926374,0.092314119,0.055414414,-0.039307896
87,10X,DLPFC,151509,BayesSpace,Brain,0.366413215,0.543856956,0.504739945,0.672096909,0.573021843,0.517517075,0.543856956,2350.522558,9386.7,0.040935673,0.053886707,-0.006466962
88,10X,DLPFC,151509,CCST,Brain,0.404810529,0.611244237,0.550826642,0.719131161,0.605713458,0.617365975,0.611244237,415.8732338,1966.227237,0.014160401,0.053526659,-0.054243451
89,10X,DLPFC,151509,CellCharter,Brain,0.43299846,0.619484742,0.55670061,0.75726817,0.663481262,0.581118055,0.619484742,250.6008144,405.0749786,0.046532999,0.054043517,0.003708027
90,10X,DLPFC,151509,DeepST,Brain,0.482270706,0.632730563,0.597202049,0.754093567,0.669230931,0.600213442,0.632730563,357.7807537,6615.994134,0.045572264,0.05364051,-0.052903381
91,10X,DLPFC,151509,GraphST,Brain,0.442736563,0.637397721,0.577749611,0.718880535,0.628864211,0.646166012,0.637397721,29.76892953,1381.570454,0.009607352,0.053496837,-0.116385783
92,10X,DLPFC,151509,PRECAST,Brain,0.305380672,0.43395521,0.529128549,0.673558897,0.393512438,0.483663109,0.43395521,44.03132191,1084.88,0.107351713,0.059961413,-0.12431143
93,10X,DLPFC,151509,SEDR,Brain,0.508494493,0.655625327,0.620991221,0.73283208,0.667665869,0.644536487,0.655625327,20.29420714,2386.747706,0.018964077,0.053650758,-0.026161976
94,10X,DLPFC,151509,STAGATE,Brain,0.49827306,0.652301618,0.61328912,0.751169591,0.672023859,0.633772753,0.652301618,65.22844162,454.2601179,0.05154553,0.05483899,-0.071859279
95,10X,DLPFC,151509,SpaGCN,Brain,0.467222617,0.590242626,0.58474121,0.731411863,0.62776197,0.55695518,0.590242626,78.33674421,1274.775103,0.133040936,0.054801453,-0.035984983
