,Tech,Dataset,Sample,Method,Tissue,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Memory,Time
101,Slideseq,Human Lung,Puck_200727_08,SpaGCN,Lung,0.199883589,0.378394285,0.432327702,0.80329956,0.503525625,0.303076606,0.378394285,7256.278982,1199.398144
102,Slideseq,Human Lung,Puck_200727_08,SpaceFlow,Lung,0.154446756,0.329684151,0.381158023,0.794111718,0.465966055,0.255083926,0.329684151,435.3056173,260.071937
103,Slideseq,Human Lung,Puck_200727_08,SpatialMGCN,Lung,0.169547534,0.353606408,0.396742065,0.821282691,0.498121033,0.274088104,0.353606408,3354.606049,193.8351142
104,Slideseq,Human Lung,Puck_200727_08,stLearn,Lung,0.385075522,0.487212931,0.596069025,0.849196329,0.597671769,0.411995023,0.487212931,2994.606924,12.45872989
105,Slideseq,Human Lung,Puck_200727_09,BASS,Lung,0.511153598,0.515531777,0.646918297,0.822681788,0.58320845,0.461928654,0.515531777,4560.78,1504.432802
106,Slideseq,Human Lung,Puck_200727_09,Banksy,Lung,0.424830503,0.456965385,0.578173477,0.784656438,0.536504255,0.397965439,0.456965385,2011.327255,47.19602222
107,Slideseq,Human Lung,Puck_200727_09,CCST,Lung,0.492921936,0.421683265,0.636518619,0.751460974,0.451007455,0.39594492,0.421683265,15791.90462,4443.265839
108,Slideseq,Human Lung,Puck_200727_09,CellCharter,Lung,0.231863964,0.35415828,0.408985106,0.724989993,0.443657324,0.294718612,0.35415828,152.6411253,550.379666
109,Slideseq,Human Lung,Puck_200727_09,DeepST,Lung,0.364689371,0.415016887,0.52843117,0.752781855,0.481483942,0.365100353,0.415016887,16136.76671,949.7216961
110,Slideseq,Human Lung,Puck_200727_09,GraphST,Lung,0.407980112,0.41347974,0.564253685,0.749499666,0.496470083,0.354261157,0.41347974,7286.862005,55.93451953
111,Slideseq,Human Lung,Puck_200727_09,PRECAST,Lung,0.264657819,0.288627478,0.442181058,0.700133422,0.353895588,0.243685203,0.288627478,1111.38,173.7808741
112,Slideseq,Human Lung,Puck_200727_09,SEDR,Lung,0.352201946,0.403852095,0.51741907,0.746791194,0.479358564,0.349113194,0.403852095,8003.536111,55.10577378
113,Slideseq,Human Lung,Puck_200727_09,STAGATE,Lung,0.316657106,0.397101515,0.486465332,0.750567045,0.486922402,0.335258098,0.397101515,232.0995113,149.1877015
114,Slideseq,Human Lung,Puck_200727_09,SpaGCN,Lung,0.244198388,0.402292407,0.42065635,0.765777185,0.50283732,0.335256202,0.402292407,5340.48815,808.1327776
115,Slideseq,Human Lung,Puck_200727_09,SpaceFlow,Lung,0.23590524,0.349441692,0.412633085,0.725363576,0.437690983,0.290823272,0.349441692,391.1064625,176.7493082
116,Slideseq,Human Lung,Puck_200727_09,SpatialMGCN,Lung,0.26619369,0.398920617,0.441490004,0.764176117,0.490775076,0.336028788,0.398920617,2212.641273,138.1842418
117,Slideseq,Human Lung,Puck_200727_09,stLearn,Lung,0.423761042,0.502086034,0.577336735,0.819559706,0.568489169,0.449940107,0.502086034,2280.932195,9.949001169
118,Slideseq,Human Lung,Puck_200727_10,BASS,Lung,0.363930629,0.420901776,0.54239263,0.7645451,0.469228947,0.381599773,0.420901776,4599.5,1431.946848
119,Slideseq,Human Lung,Puck_200727_10,Banksy,Lung,0.378466663,0.384011366,0.554609469,0.737081869,0.428207734,0.348084693,0.384011366,2093.967569,49.68081484
120,Slideseq,Human Lung,Puck_200727_10,CCST,Lung,0.436767101,0.363564127,0.606554774,0.70468567,0.373031159,0.35464839,0.363564127,16534.75487,4668.055868
121,Slideseq,Human Lung,Puck_200727_10,CellCharter,Lung,0.209364902,0.2860187,0.397842846,0.674046596,0.361243913,0.236739562,0.2860187,195.0275055,632.6679506
122,Slideseq,Human Lung,Puck_200727_10,DeepST,Lung,0.223207734,0.337047494,0.411649059,0.718443316,0.419584232,0.281770413,0.337047494,17049.91544,994.2698415
123,Slideseq,Human Lung,Puck_200727_10,GraphST,Lung,0.311306374,0.368621257,0.492567787,0.730964467,0.443647297,0.315300234,0.368621257,7668.68538,58.0606102
