,Technology,Dataset,Sample,Method,delta,lamda,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure
71,scCube,sim1,25_0.2,Banksy,25,0.2,0.1807873519753469,0.2812292553945906,0.4490083641932703,0.6470329670329671,0.3018735856853899,0.2633536457645705,0.2812292553945906
72,scCube,sim1,25_0.2,BayesSpace,25,0.2,0.0957331328588756,0.2223959290200121,0.4603881782992436,0.6593406593406593,0.2126967699611214,0.23302193333616,0.2223959290200121
73,scCube,sim1,25_0.2,CCST,25,0.2,0.089070994166147,0.0881360875770272,0.3864836004047694,0.5553113553113553,0.0940252503169403,0.0829700918905834,0.0881360875770272
74,scCube,sim1,25_0.2,CellCharter,25,0.2,0.1970639459242508,0.2889057238868489,0.4702831114878593,0.6578754578754579,0.3041479779889716,0.2756137885265751,0.2889057238868489
75,scCube,sim1,25_0.2,DeepST,25,0.2,0.0445271144020707,0.166447178332255,0.4396344650091928,0.5832967032967034,0.1713089654620817,0.363401780280831,0.166447178332255
76,scCube,sim1,25_0.2,GraphST,25,0.2,0.2626091291049855,0.2245684832979456,0.5295764980908885,0.6351648351648351,0.2261712763767058,0.2229882471824031,0.2245684832979456
77,scCube,sim1,25_0.2,PRECAST,25,0.2,0.096495642217967,0.2593658037286789,0.398552850702406,0.6102564102564103,0.2737344775823551,0.2464303581287324,0.2593658037286789
78,scCube,sim1,25_0.2,SEDR,25,0.2,0.3199668972270204,0.2332388844181868,0.6110981105234066,0.6816117216117217,0.2193360832478464,0.2492870049316831,0.2332388844181868
79,scCube,sim1,25_0.2,STAGATE,25,0.2,0.049445300860453,0.0596504226137441,0.4480678906587151,0.5733333333333333,0.0561290561678431,0.065731741084019,0.0596504226137441
80,scCube,sim1,25_0.2,SpaGCN,25,0.2,0.4348502332495726,0.4241160108691407,0.6221208342380206,0.7311355311355311,0.4556153528164405,0.3966904878962168,0.4241160108691407
81,scCube,sim1,25_0.2,SpatialMGCN,25,0.2,0.2617451945200311,0.2590571174947164,0.6098828448956393,0.6813186813186813,0.2226073640405013,0.3097806309385316,0.2590571174947164
82,scCube,sim1,25_0.2,SpaceFlow,25,0.2,0.0431146522084262,0.0386949158268397,0.3572745610506808,0.5494505494505495,0.0411268213080504,0.0365832583683852,0.0386949158268397
83,scCube,sim1,25_0.2,stLearn,25,0.2,0.5333784667559918,0.4595556773359847,0.6926447099250179,0.7775824175824175,0.4875124075065306,0.4346315086973822,0.4595556773359845
84,scCube,sim1,25_0.4,BASS,25,0.4,0.2488369962689583,0.1430364073213061,0.5302470109852915,0.5706959706959707,0.1381645490986464,0.1482643991381742,0.1430364073213061
85,scCube,sim1,25_0.4,Banksy,25,0.4,0.2238143440912289,0.325905329055648,0.4671312199996785,0.6712087912087912,0.3484591183855137,0.3061606283478191,0.325905329055648
