,Technology,Dataset,Sample,Method,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,PAS,CHAOS,ASW,Rep
104,SRTsim,sim4,SRTsim_4_4,SpaGCN,0.7344034881801261,0.8429262419071639,0.7758462701942289,0.8165289256198347,0.8185564309836684,0.8687916400627934,0.8429262419071638,90.59065175056458,579.6958141326904,0.1110743801652892,0.0655603555604402,0.0488752003791981,2
105,SRTsim,sim4,SRTsim_4_4,SpatialMGCN,0.7692667152134545,0.8696316546978035,0.8028149993876001,0.8512396694214877,0.8523261403895139,0.8876544706298383,0.8696316546978036,50.50876212120056,593.590012550354,0.0357024793388429,0.0630700940821736,0.0585268500569153,2
106,SRTsim,sim4,SRTsim_4_4,STAGATE,0.8656303301741881,0.8976667461511677,0.8826122090821444,0.931900826446281,0.8956864107307694,0.8996558578985612,0.8976667461511676,66.30419945716858,477.6796350479126,0.0595041322314049,0.0636376206772807,0.0491241449406101,2
107,SRTsim,sim4,SRTsim_4_4,stLearn,0.5277656674757724,0.6818269179528318,0.5891215667722064,0.6730578512396694,0.6760158844085892,0.6877387210179419,0.6818269179528318,5.1689064502716064,352.6030035018921,0.3431404958677685,0.0692287076312309,0.0182354684058382,2
108,SRTsim,sim4,SRTsim_4_5,CCST,0.5807442854347451,0.74735406126795,0.6307978727879087,0.7338842975206612,0.7271426482151065,0.7687211771594122,0.7473540612679499,273.94783997535706,845.4388437271118,0.0909090909090909,0.0632802628257942,0.0281029802084356,2
109,SRTsim,sim4,SRTsim_4_5,DeepST,0.7889548558966298,0.844604805452239,0.8101472774903562,0.8912396694214876,0.8434614938176945,0.8457512208105813,0.844604805452239,136.2979986667633,858.7865085601807,0.0833057851239669,0.0633836369228743,0.1456761154626443,2
110,SRTsim,sim4,SRTsim_4_5,GraphST,0.5268359491870194,0.6681208785959153,0.5771035372007732,0.6466115702479339,0.6588842166061265,0.6776201935399326,0.6681208785959154,23.84200358390808,581.4237642288208,0.1897520661157024,0.0651396063566173,0.0419646843917846,2
111,SRTsim,sim4,SRTsim_4_5,SEDR,0.7695849314408063,0.8281422871502844,0.7925912223362426,0.8826446280991735,0.8279424370156007,0.8283422337885841,0.8281422871502845,17.14864182472229,386.4120864868164,0.0829752066115702,0.0638443661280965,0.1427132476117387,2
112,SRTsim,sim4,SRTsim_4_5,SpaceFlow,0.5535983805318309,0.708270943996263,0.6155797239810178,0.6366942148760331,0.6708267688460837,0.7501423524383962,0.7082709439962631,14.477753162384031,477.6579875946045,0.088595041322314,0.06362203628795,0.0306411286120949,2
113,SRTsim,sim4,SRTsim_4_5,SpaGCN,0.4888428081012657,0.6519058190738126,0.5458723805845832,0.5775206611570248,0.6381434683332916,0.6662748579173796,0.6519058190738125,64.23136878013611,579.6948871612549,0.3418181818181818,0.0706418996730619,0.0330503626359869,2
114,SRTsim,sim4,SRTsim_4_5,SpatialMGCN,0.6273115720743943,0.7701582859664287,0.6734829104851081,0.7371900826446282,0.7462773119830398,0.7956181741507797,0.7701582859664287,50.747185707092285,593.5903835296631,0.1140495867768595,0.0636269837187539,0.0769423093202038,2
115,SRTsim,sim4,SRTsim_4_5,STAGATE,0.7387990990936014,0.8296410888862576,0.7676337473244641,0.819504132231405,0.8122017871472543,0.8478457242959558,0.8296410888862578,64.83106398582458,477.6793813705444,0.1057851239669421,0.0645516537220887,0.0725541166412324,2
116,SRTsim,sim4,SRTsim_4_5,stLearn,0.4417768151182952,0.6364949126362304,0.501954145766347,0.6049586776859505,0.6273034608897338,0.6459597219100308,0.6364949126362301,5.396072864532471,352.60205078125,0.4707438016528925,0.0718349166383484,0.0140097126131414,2
117,SRTsim,sim4,SRTsim_4_6,CCST,0.5577763691241057,0.7499851837072138,0.6082017824986454,0.6809917355371901,0.7211877958268949,0.7811780107479017,0.7499851837072138,274.7254204750061,845.4359827041626,0.096198347107438,0.0635001074236844,0.013540239273966,2
118,SRTsim,sim4,SRTsim_4_6,DeepST,0.6866351117142084,0.803361715545295,0.7134772636287433,0.819504132231405,0.7997278982648867,0.8070287063622057,0.8033617155452951,103.72421741485596,858.7850723266602,0.1074380165289256,0.0635688149134506,0.0600012746841344,2
119,SRTsim,sim4,SRTsim_4_6,GraphST,0.4045163413150878,0.5796709848342027,0.4584588040042632,0.5289256198347108,0.571197458217602,0.5883997010714683,0.5796709848342027,20.83228087425232,581.4238901138306,0.2452892561983471,0.0662363913664707,-0.0065315479435879,2
120,SRTsim,sim4,SRTsim_4_6,SEDR,0.6532626434835567,0.7802817329569495,0.6839987405142683,0.7841322314049587,0.7735911958628345,0.7870890082129004,0.7802817329569494,23.363566875457764,386.4126892089844,0.1249586776859504,0.0635061911446905,0.0560387740961955,2
121,SRTsim,sim4,SRTsim_4_6,SpaceFlow,0.4878285018622007,0.6759841103300468,0.5467965590827736,0.5884297520661157,0.6456557694814647,0.7093021058432075,0.6759841103300468,24.095086097717285,477.65778160095215,0.140495867768595,0.0630529793840522,0.0088194799173439,2
122,SRTsim,sim4,SRTsim_4_6,SpaGCN,0.4331894981709366,0.6321813147286939,0.4863327458320911,0.548099173553719,0.6150478133912769,0.6502967523140353,0.6321813147286939,143.33942914009094,579.6952314376831,0.4330578512396694,0.069675082347122,-0.079999333001946,2
123,SRTsim,sim4,SRTsim_4_6,SpatialMGCN,0.6001362653998604,0.7613111423757898,0.63712496220713,0.7008264462809918,0.7490737817199284,0.7739549785845435,0.7613111423757898,52.14610552787781,593.5894174575806,0.1378512396694214,0.0639882277530703,0.0347201484927129,2
124,SRTsim,sim4,SRTsim_4_6,STAGATE,0.5958932842328521,0.7601449421372162,0.6364782086202376,0.7014876033057851,0.7410211498843768,0.7802819516466739,0.7601449421372162,67.43408560752869,477.6793813705444,0.1692561983471074,0.0653152060635785,0.0216926173731911,2
125,SRTsim,sim4,SRTsim_4_6,stLearn,0.3898116022581678,0.6153280581550297,0.4449960005558162,0.5464462809917355,0.6061525878870324,0.6247855802878444,0.6153280581550297,5.370458126068115,352.6022415161133,0.5646280991735537,0.072568487380968,-0.0125558463721817,2
126,SRTsim,sim4,SRTsim_4_7,CCST,0.5263596406018082,0.7392159594668066,0.5807003530174327,0.6284297520661157,0.7010351297461626,0.7817952693907195,0.7392159594668067,277.259533405304,845.4403228759766,0.0922314049586776,0.0630858090079712,-0.0190912038158552,2
127,SRTsim,sim4,SRTsim_4_7,DeepST,0.5884342137040109,0.7629652883363023,0.6188260223604557,0.739504132231405,0.7594212462591182,0.7665425639444761,0.7629652883363022,64.4543046951294,858.7874326705933,0.1312396694214876,0.0637291052243525,-0.0106128384324342,2
128,SRTsim,sim4,SRTsim_4_7,GraphST,0.3246983354227023,0.5758778958058761,0.3829214375402819,0.4892561983471074,0.5616106322289234,0.5908889513848242,0.5758778958058761,22.97345852851868,581.4240474700928,0.2753719008264463,0.0662679907549775,-0.0704070289135264,2
129,SRTsim,sim4,SRTsim_4_7,SEDR,0.6573805109929566,0.7879523917643141,0.6824457645231052,0.795702479338843,0.7853122508081927,0.7906103443791889,0.7879523917643142,21.9729106426239,386.4135332107544,0.1398347107438016,0.0636768853582068,0.0303857743837817,2
130,SRTsim,sim4,SRTsim_4_7,SpaceFlow,0.4515473223476235,0.6843837018181437,0.5078527050181093,0.5996694214876033,0.656316646671694,0.7149585487569645,0.6843837018181437,22.71776843070984,477.6578578948975,0.1438016528925619,0.0637343791188468,-0.0280302833362725,2
131,SRTsim,sim4,SRTsim_4_7,SpaGCN,0.4390682584746447,0.6638796312649281,0.5082711250253161,0.511404958677686,0.6192648001749504,0.7154220992130675,0.6638796312649282,40.73977851867676,579.6948537826538,0.3153719008264463,0.0721355377846922,-0.0433988021726542,2
132,SRTsim,sim4,SRTsim_4_7,SpatialMGCN,0.6045126793075997,0.7772591405388607,0.6391535046922874,0.6942148760330579,0.7576554654231368,0.79790421703885,0.7772591405388607,59.27698564529419,593.5889835357666,0.1256198347107438,0.0637707906312399,0.0116993004306641,2
133,SRTsim,sim4,SRTsim_4_7,STAGATE,0.5372897598504836,0.7303059785480319,0.5774969616386297,0.6628099173553719,0.7127457791678461,0.7487533096847944,0.730305978548032,70.58559203147888,477.6793584823608,0.211900826446281,0.0660775659773401,-0.0654307669490988,2
