,Technology,Dataset,Sample,Method,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,PAS,CHAOS,ASW,Rep
75,SRTsim,sim2,SRTsim_2_8,SEDR,0.9959635980784964,0.9923224386255436,0.996972669514866,0.998485039767706,0.9923327568211422,0.9923121206445183,0.9923224386255436,31.03852581977844,1898.4121360778809,0.0011362201742204,0.0389249472080747,0.1635170163263519,1
76,SRTsim,sim2,SRTsim_2_8,SpaceFlow,0.6756830493840471,0.8015720982562545,0.7857650309360342,0.7526827420780204,0.7196738737999246,0.904503797966783,0.8015720982562548,35.4876446723938,1314.5103950500488,0.0161595758111349,0.0389298613536634,0.1891555325065028,1
77,SRTsim,sim2,SRTsim_2_8,SpaGCN,0.9969426221376294,0.9944643191016752,0.9977070002677262,0.9988637798257796,0.9944491184215012,0.9944795202465572,0.9944643191016752,141.21418476104736,1815.5033931732175,0.0011362201742204,0.0392142509598488,0.1629963447481727,1
78,SRTsim,sim2,SRTsim_2_8,SpatialMGCN,0.997633322626976,0.9953788140844904,0.9982249769878124,0.9991162731978286,0.9953879991136784,0.995369629224812,0.9953788140844902,112.8780119419098,1552.540265083313,0.0008837268021714,0.0389249472080747,0.1632411960100916,1
79,SRTsim,sim2,SRTsim_2_8,STAGATE,0.9979601445190937,0.9959309201534736,0.9984701027929612,0.999242519883853,0.9959348617097284,0.9959269786284172,0.9959309201534736,154.08270859718323,1249.4114627838137,0.0007574801161469,0.0390527149933808,0.1631481755061634,1
80,SRTsim,sim2,SRTsim_2_8,stLearn,0.9779034118861526,0.9687185128513812,0.983427840537884,0.9916677187223836,0.9687009625058044,0.9687360638329028,0.9687185128513812,17.22513723373413,918.8459663391112,0.0082060345915919,0.0400422902599914,0.1584652386856595,1
81,SRTsim,sim2,SRTsim_2_9,CCST,0.9994030242492912,0.9987148017360908,0.9995522682163082,0.9997783933518004,0.9987147317057132,0.9987148717664782,0.9987148017360908,1802.1935367584229,6017.80122089386,0.0001108033240997,0.0364662478744713,0.1636065635157019,1
82,SRTsim,sim2,SRTsim_2_9,DeepST,0.9979128799784184,0.996202801848084,0.9984346612424349,0.999224376731302,0.9962019461324731,0.996203657565165,0.996202801848084,566.5013446807861,2935.8825464248657,0.0005540166204986,0.0364662478744713,0.1636382213121894,1
83,SRTsim,sim2,SRTsim_2_9,GraphST,0.9916843651323544,0.9859031716703024,0.9937632925745432,0.9968975069252076,0.9859000081724372,0.9859063351884688,0.9859031716703022,48.6365065574646,3385.104667663574,0.0026592797783933,0.0365538298086698,0.1630869818623272,1
84,SRTsim,sim2,SRTsim_2_9,SEDR,0.9970203601736232,0.9943234051709212,0.9977652702765816,0.9988919667590028,0.9943233354484704,0.9943234748933816,0.9943234051709212,41.880778074264526,2390.92453289032,0.0004432132963988,0.0364662478744713,0.1635996589079722,1
