,Rep,Technology,Dataset,Sample,Method,ARI,NMI,FMI,Purity,Homogeneity,Completeness,V_measure,Time,Memory,PAS,CHAOS,ASW
11,2,SRTsim,sim6,SRTsim_6_10,BASS,0.34243746647508044,0.4623799655643088,0.5759131877952735,0.548099173553719,0.3883546413706291,0.5712715801262813,0.4623799655643087,870.2314898967743,943.2,0.04528925619834711,0.06326742665048692,-0.05248477631821088
12,2,SRTsim,sim6,SRTsim_6_2,BASS,0.9991347962894188,0.9981847947491789,0.9993511028131642,0.9996694214876033,0.9981758110528232,0.9981937786072448,0.9981847947491789,778.4536700248718,999.0,0.00033057851239669424,0.06299407883487035,0.1628539129813086
13,2,SRTsim,sim6,SRTsim_6_3,BASS,0.9954642907440269,0.9916439604967273,0.9966011668455769,0.9983471074380166,0.9916595363821253,0.9916283851006189,0.9916439604967273,684.3653998374939,999.0,0.001322314049586777,0.06299407883487035,0.16303464414853952
14,2,SRTsim,sim6,SRTsim_6_4,BASS,0.9931005791886811,0.9877317870203164,0.9948252823272403,0.9973553719008265,0.9877646282835844,0.9876989479407928,0.9877317870203165,683.727420091629,999.1,0.001652892561983471,0.06299407883487036,0.16278016318083482
15,2,SRTsim,sim6,SRTsim_6_5,BASS,0.9846754352451689,0.9752638131108662,0.9885177058241338,0.9943801652892562,0.9751767039120157,0.9753509378734403,0.9752638131108662,785.8863201141357,999.1,0.003305785123966942,0.06328562167906479,0.1624117661354814
16,2,SRTsim,sim6,SRTsim_6_6,BASS,0.9919582620214304,0.9860292936408791,0.9939686991542518,0.9970247933884298,0.9860288356264584,0.9860297516557253,0.986029293640879,707.3374600410461,943.1,0.001652892561983471,0.06299407883487036,0.16310897429060142
17,2,SRTsim,sim6,SRTsim_6_7,BASS,0.9737990298830763,0.9569885066301693,0.9803485677681609,0.9900826446280991,0.9570266585180304,0.9569503577840388,0.9569885066301694,754.0178401470184,943.1,0.00628099173553719,0.06391035634519576,0.16167745589896654
18,2,SRTsim,sim6,SRTsim_6_8,BASS,0.9638969505703666,0.9501988574594737,0.972919276494778,0.9861157024793389,0.9503342019587201,0.9500635515056675,0.9501988574594737,748.4525902271271,943.1,0.007603305785123967,0.06378700893306331,0.16129315475917413
19,2,SRTsim,sim6,SRTsim_6_9,BASS,0.9033919251520951,0.8865056933895211,0.9276189763246565,0.9619834710743802,0.8863540006378496,0.8866574380722034,0.8865056933895211,804.9918599128723,943.1,0.015206611570247934,0.06431329244274353,0.15764744641425757
20,3,SRTsim,sim6,SRTsim_6_1,BASS,0.9991027157279241,0.9981759656718702,0.999327036894128,0.9996694214876033,0.9981758110528235,0.9981761202909648,0.9981759656718702,662.4838900566101,943.2,0.00033057851239669424,0.06299407883487033,0.1631059649955207
21,3,SRTsim,sim6,SRTsim_6_10,BASS,0.34243746647508044,0.4623799655643088,0.5759131877952735,0.548099173553719,0.3883546413706291,0.5712715801262813,0.4623799655643087,821.5018100738525,943.7,0.04528925619834711,0.06326742665048692,-0.05248477631821088
22,3,SRTsim,sim6,SRTsim_6_2,BASS,0.9991347962894188,0.9981847947491789,0.9993511028131642,0.9996694214876033,0.9981758110528232,0.9981937786072448,0.9981847947491789,774.3235700130463,943.2,0.00033057851239669424,0.06299407883487035,0.1628539129813086
23,3,SRTsim,sim6,SRTsim_6_3,BASS,0.9954642907440269,0.9916439604967273,0.9966011668455769,0.9983471074380166,0.9916595363821253,0.9916283851006189,0.9916439604967273,679.3972699642181,943.2,0.001322314049586777,0.06299407883487035,0.16303464414853952
24,3,SRTsim,sim6,SRTsim_6_4,BASS,0.9931005791886811,0.9877317870203164,0.9948252823272403,0.9973553719008265,0.9877646282835844,0.9876989479407928,0.9877317870203165,697.1602900028229,943.3,0.001652892561983471,0.06299407883487036,0.16278016318083482
25,3,SRTsim,sim6,SRTsim_6_5,BASS,0.9846754352451689,0.9752638131108662,0.9885177058241338,0.9943801652892562,0.9751767039120157,0.9753509378734403,0.9752638131108662,842.051609992981,943.4,0.003305785123966942,0.06328562167906479,0.1624117661354814
26,3,SRTsim,sim6,SRTsim_6_6,BASS,0.9919582620214304,0.9860292936408791,0.9939686991542518,0.9970247933884298,0.9860288356264584,0.9860297516557253,0.986029293640879,669.8989200592041,943.4,0.001652892561983471,0.06299407883487036,0.16310897429060142
27,3,SRTsim,sim6,SRTsim_6_7,BASS,0.9737990298830763,0.9569885066301693,0.9803485677681609,0.9900826446280991,0.9570266585180304,0.9569503577840388,0.9569885066301694,728.7548501491547,943.5,0.00628099173553719,0.06391035634519576,0.16167745589896654
28,3,SRTsim,sim6,SRTsim_6_8,BASS,0.9638969505703666,0.9501988574594737,0.972919276494778,0.9861157024793389,0.9503342019587201,0.9500635515056675,0.9501988574594737,730.5037400722504,943.5,0.007603305785123967,0.06378700893306331,0.16129315475917413
29,3,SRTsim,sim6,SRTsim_6_9,BASS,0.9033919251520951,0.8865056933895211,0.9276189763246565,0.9619834710743802,0.8863540006378496,0.8866574380722034,0.8865056933895211,771.4043297767639,943.6,0.015206611570247934,0.06431329244274353,0.15764744641425757
30,4,SRTsim,sim6,SRTsim_6_1,BASS,0.9991027157279241,0.9981759656718702,0.999327036894128,0.9996694214876033,0.9981758110528235,0.9981761202909648,0.9981759656718702,670.7970898151398,943.7,0.00033057851239669424,0.06299407883487033,0.1631059649955207
31,4,SRTsim,sim6,SRTsim_6_10,BASS,0.34243746647508044,0.4623799655643088,0.5759131877952735,0.548099173553719,0.3883546413706291,0.5712715801262813,0.4623799655643087,807.5376000404358,943.9,0.04528925619834711,0.06326742665048692,-0.05248477631821088
32,4,SRTsim,sim6,SRTsim_6_2,BASS,0.9991347962894188,0.9981847947491789,0.9993511028131642,0.9996694214876033,0.9981758110528232,0.9981937786072448,0.9981847947491789,809.8975098133087,943.7,0.00033057851239669424,0.06299407883487035,0.1628539129813086
33,4,SRTsim,sim6,SRTsim_6_3,BASS,0.9954642907440269,0.9916439604967273,0.9966011668455769,0.9983471074380166,0.9916595363821253,0.9916283851006189,0.9916439604967273,709.2679500579834,943.7,0.001322314049586777,0.06299407883487035,0.16303464414853952
34,4,SRTsim,sim6,SRTsim_6_4,BASS,0.9931005791886811,0.9877317870203164,0.9948252823272403,0.9973553719008265,0.9877646282835844,0.9876989479407928,0.9877317870203165,698.9195702075958,943.8,0.001652892561983471,0.06299407883487036,0.16278016318083482
35,4,SRTsim,sim6,SRTsim_6_5,BASS,0.9846754352451689,0.9752638131108662,0.9885177058241338,0.9943801652892562,0.9751767039120157,0.9753509378734403,0.9752638131108662,759.478189945221,943.8,0.003305785123966942,0.06328562167906479,0.1624117661354814
36,4,SRTsim,sim6,SRTsim_6_6,BASS,0.9919582620214304,0.9860292936408791,0.9939686991542518,0.9970247933884298,0.9860288356264584,0.9860297516557253,0.986029293640879,733.0686500072479,943.8,0.001652892561983471,0.06299407883487036,0.16310897429060142
37,4,SRTsim,sim6,SRTsim_6_7,BASS,0.9737990298830763,0.9569885066301693,0.9803485677681609,0.9900826446280991,0.9570266585180304,0.9569503577840388,0.9569885066301694,738.4298198223114,943.9,0.00628099173553719,0.06391035634519576,0.16167745589896654
38,4,SRTsim,sim6,SRTsim_6_8,BASS,0.9638969505703666,0.9501988574594737,0.972919276494778,0.9861157024793389,0.9503342019587201,0.9500635515056675,0.9501988574594737,681.5766000747681,943.9,0.007603305785123967,0.06378700893306331,0.16129315475917413
